RunId,Success,Duration,TotalTrucks,TotalParcels,MinInterarrival,MaxBeltLoad,MaxStationLoad,AvgProcessingTime,StationLoadStdDev
586,1,28800,66,6363,3,227,50,5.01,107.48
587,0,19508,53,5226,6,300,50,5.04,108.92
588,0,18316,36,3439,1,300,50,4.99,85.18
589,1,28800,60,6229,10,289,50,5.00,117.58
590,1,28800,54,5418,14,168,50,5.00,140.27
591,1,28800,84,8258,4,236,50,4.99,207.40
592,1,28800,74,7075,13,256,50,4.97,109.80
593,0,522,5,496,7,300,50,5.02,18.12
594,1,28800,64,6596,12,209,50,4.96,122.22
595,1,28800,48,4970,17,193,50,4.97,89.13
596,1,28800,55,5476,14,165,50,4.97,109.16
597,1,28800,58,5816,7,277,50,4.99,144.85
598,1,28800,67,6709,20,256,50,5.02,94.53
599,0,4337,6,823,61,300,50,5.06,38.55
600,0,8535,14,1410,6,300,50,5.00,51.11
601,0,18425,31,3160,7,300,50,5.02,86.13
602,1,28800,44,4509,8,223,50,5.04,116.99
603,1,28800,63,6149,17,228,50,5.01,105.91
604,0,24040,65,6217,4,300,50,5.02,100.98
605,0,8452,26,2665,12,300,50,4.98,80.75
606,1,28800,58,5717,1,239,50,5.02,87.49
607,1,28800,74,7042,5,184,50,4.97,143.21
608,0,13354,30,3154,21,300,50,5.01,86.76
609,1,28800,52,5038,2,182,50,5.02,98.47
610,1,28800,59,5761,21,179,50,5.02,104.98
611,1,28800,54,5160,1,222,50,4.98,89.39
612,0,22384,46,4815,17,300,50,5.00,145.46
613,1,28800,60,6079,1,259,50,5.00,88.77
614,1,28800,62,6071,13,225,50,4.99,162.35
615,0,1961,9,806,7,300,50,5.00,31.89
616,1,28800,61,5720,11,194,50,4.99,109.51
617,1,28800,68,7097,2,288,50,5.00,140.26
618,1,28800,65,6384,6,187,50,5.01,132.81
